Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,Y,Yb,Zn,Zr,G,K
0,0,0,35,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,93.8,224.1
0,0,0,35,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,91.5,215.7
0,0,0,0,0,15,0,0,0,10,0,0,2,64,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.2,166.8
0,0,0,6,0,15,0,0,0,15,0,0,2,48,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.8,191.1
0,0,0,6,0,15,0,0,7,15,0,0,0,41,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,84.1,192.5
0,0,0,8,0,13,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,201
0,0,0,6,0,15,0,0,43,15,0,0,2,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,
0,0,0,6,0,15,0,0,0,15,0,0,0,50,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,204
0,0,0,6,0,15,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.9,200
0,0,0,6,0,15,0,0,0,15,0,0,2,48,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,195
0,0,0,4,0,17,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.8,200
0,0,0,3,0,18,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.2,200
0,0,0,5.88,0,12.74,0,0,0,9.8,0,0,1.96,58.8,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.6,170.7
0,0,0,5.88,2,12.74,0,0,0,9.8,0,0,1.96,58.8,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.2,167.2
0,0,0,6,0,13,0,0,0,10,0,0,2,60,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.2,169.1
0,0,0,2,0,19,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9,207
0,0,0,5.7,5,12.35,0,0,0,9.5,0,0,1.9,57,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.8,167.9
0,0,0,5.88,0,12.74,0,0,0,9.8,0,0,0,58.8,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.96,0,0,0,78.1,172.7
0,0,0,6,0,15,0,0,0,0,0,0,2,63,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.8,178
0,0,0,6,0,15,0,0,0,6,0,0,0,59,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.4,188
0,0,0,6,0,15,0,0,0,4,0,0,0.5,60.5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,184
0,0,0,5.7,0,12.35,0,0,0,9.5,0,0,1.9,57,0,0,0,0,0,0,0,0,0,0,8.55,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,166.6
0,0,0,5.88,0,12.74,0,0,0,9.8,0,0,1.96,58.8,0,0,0,0,2,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3,142.2
0,0,0,6,0,15,0,0,5.85,6,0,0,0.5,52.65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2,190
0,0,0,6,0,16,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,180
0,0,0,3,0,18,0,0,5.85,6,0,0,0.5,52.65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,187
0,0,0,2,0,19,0,0,5.85,6,0,0,0.5,52.65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.4,188
0,0,0,23,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4,182.6
0,0,0,23,0,0,0,0,0,0,0,0,0,53.25,0,0,0,0,0,0,0,0,0,0,0,6,0,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4,186.5
0,0,0,6,0,15,0,0,6.4,0,0,0,1,57.6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,177
0,0,0,6,0,15,0,0,6.425,0,0,0,0.75,57.825,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,176
0,0,0,6,0,15,0,0,6.45,0,0,0,0.5,58.05,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,175
0,0,0,6,0,15,0,0,6.475,0,0,0,0.25,58.275,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,175
0,0,0,6,0,15,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,195
