Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,Y,Yb,Zn,Zr,AR,AS,Va,delta,EN,G,K,calculate G,calculate K,KG,KK,Vaa,XX,
0,0,0,35,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,118.4,0.02428087,7.821015855,0.208332572,0.0018,93.8,224.1,NA,214.829181,0.997385606,0.150502941,6.952543527,0.039589209,
0,0,0,35,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,118.2,0.024019432,7.771734738,0.207191184,0.0094,91.5,215.7,NA,214.3176068,0.998892397,0.778775951,6.917370523,0.039984051,
0,0,0,0,0,15,0,0,0,10,0,0,2,64,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.65,0.027230557,10.31939359,0.198758642,0.0389,88.2,166.8,NA,102.2389279,0.999293958,4.866349889,9.341505019,0.025619045,
0,0,0,6,0,15,0,0,0,15,0,0,2,48,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6,0.03179384,9.847898131,0.220376956,0.0595,85.8,191.1,NA,104.6328818,0.996035402,6.954072309,8.70243188,0.02757088,
0,0,0,6,0,15,0,0,7,15,0,0,0,41,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,127.35,0.031814988,9.804329477,0.221226304,0.0626,84.1,192.5,NA,104.519325,0.995110704,7.269371955,8.651381374,0.02776348,
0,0,0,8,0,13,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.55,0.029750228,9.761059274,0.213236375,0.0552,82.5,201,NA,113.0554736,0.9966524,6.368964534,8.692205757,0.02795695,
0,0,0,6,0,15,0,0,43,15,0,0,2,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.45,0.030438828,9.337038514,0.217362036,0.081,82,,NA,106.1942897,0.986939799,8.761428311,8.26990663,0.029975859,
0,0,0,6,0,15,0,0,0,15,0,0,0,50,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9,0.030755714,9.628792988,0.215576971,0.0713,82,204,NA,108.4560272,0.991555356,8.065015291,8.559994302,0.028562236,
0,0,0,6,0,15,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.25,0.03127856,9.73834556,0.218021551,0.0654,81.9,200,NA,106.5101579,0.994001436,7.520323736,8.631017205,0.028059393,
0,0,0,6,0,15,0,0,0,15,0,0,2,48,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6,0.03179384,9.847898131,0.220376956,0.0595,81,195,NA,104.6328818,0.996035402,6.954072309,8.70243188,0.02757088,
