Ag,Al,La,Phase,,,,,,,,,
20,25,55,AM,,,,,,,,,
Ag,Al,Mg,Phase,,,,,,,,,
15,10,75,AM,,,,,,,,,
25,10,65,AM,,,,,,,,,
25,20,55,AM,,,,,,,,,
35,10,55,AM,,,,,,,,,
35,20,45,AM,,,,,,,,,
45,20,35,AM,,,,,,,,,
Ag,Ce,Cu,Phase,,,,,,,,,
10,6,84,AM,,,,,,,,,
10,10,80,AM,,,,,,,,,
15,6,79,AM,,,,,,,,,
20,6,74,AM,,,,,,,,,
20,10,70,AM,,,,,,,,,
25,6,69,AM,,,,,,,,,
30,6,64,AM,,,,,,,,,
30,10,60,AM,,,,,,,,,
35,4,61,AM,,,,,,,,,
35,5,60,AM,,,,,,,,,
35,6,59,AM,,,,,,,,,
40,3,57,AM,,,,,,,,,
40,4,56,AM,,,,,,,,,
40,5,55,AM,,,,,,,,,
40,8,52,AM,,,,,,,,,
40,10,50,AM,,,,,,,,,
45,3,52,AM,,,,,,,,,
45,4,51,AM,,,,,,,,,
45,5,50,AM,,,,,,,,,
50,3,47,AM,,,,,,,,,
50,4,46,AM,,,,,,,,,
50,5,45,AM,,,,,,,,,
50,10,40,AM,,,,,,,,,
55,5,40,AM,,,,,,,,,
55,6,39,AM,,,,,,,,,
55,8,37,AM,,,,,,,,,
6,8,86,AC,,,,,,,,,
20,5,75,AC,,,,,,,,,
30,5,65,AC,,,,,,,,,
35,3,62,AC,,,,,,,,,
45,2,53,AC,,,,,,,,,
50,2,48,AC,,,,,,,,,
60,5,35,AC,,,,,,,,,
60,10,30,AC,,,,,,,,,
5,5,90,CR,,,,,,,,,
5,6,89,CR,,,,,,,,,
5,8,87,CR,,,,,,,,,
10,3,87,CR,,,,,,,,,
10,5,85,CR,,,,,,,,,
10,6,84,CR,,,,,,,,,
15,4,81,CR,,,,,,,,,
20,3,77,CR,,,,,,,,,
20,4,76,CR,,,,,,,,,
30,3,67,CR,,,,,,,,,
40,1,59,CR,,,,,,,,,
40,2,58,CR,,,,,,,,,
60,3,37,CR,,,,,,,,,
70,5,25,CR,,,,,,,,,
70,10,20,CR,,,,,,,,,
Ag,Cu,Fe,Phase,,,,,,,,,
28,30,42,AM,,,,,,,,,
29,30,41,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
38,22,40,AM,,,,,,,,,
41,23,36,AM,,,,,,,,,
46,12,42,AM,,,,,,,,,
21,42,37,AC,,,,,,,,,
22,41,37,AC,,,,,,,,,
Ag,Ce,Cu,Phase,,,,,,,,,
26,44,30,AC,,,,,,,,,
29,31,40,AC,,,,,,,,,
31,37,32,AC,,,,,,,,,
36,30,34,AC,,,,,,,,,
40,12,48,AC,,,,,,,,,
40,40,20,AC,,,,,,,,,
40,47,13,AC,,,,,,,,,
0,32,68,CR,,,,,,,,,
